Date : 2024-11-13 01:12:54
Directory : /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios
Total : 44 files,  3974 codes, 333 comments, 483 blanks, all 4790 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Swift    |         40 |      3,913 |        333 |        479 |      4,725 |
| JSON     |          4 |         61 |          0 |          4 |         65 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Explore/Presentation/ExploreView.swift                | Swift    |        220 |          9 |         16 |        245 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/ExploreSearch/DataSource/ExploreSearchFeature.swift   | Swift    |         85 |          7 |          7 |         99 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/ExploreSearch/Presentation/ExploreSearchView.swift    | Swift    |        163 |          8 |         10 |        181 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Home/DataSource/HomeFeature.swift                     | Swift    |         83 |          6 |          7 |         96 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Home/Presentation/HomeView.swift                      | Swift    |         96 |          6 |          4 |        106 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Player/DataSource/PlayerFeature.swift                 | Swift    |         97 |          7 |          6 |        110 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Player/Presentation/PlayerView.swift                  | Swift    |        160 |          6 |         11 |        177 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/PodcastDetails/DataSource/PodcastDetailsFeature.swift | Swift    |         67 |          6 |          5 |         78 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/PodcastDetails/Presentation/PodcastDetailsView.swift  | Swift    |         57 |          7 |          3 |         67 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/Settings/SettingsView.swift                           | Swift    |        106 |          6 |         14 |        126 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Screens/ShowMorePodcast/ShowMorePodcastView.swift             | Swift    |         34 |          6 |          4 |         44 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Views/ListViewCell.swift                                      | Swift    |         88 |          6 |          8 |        102 |
| /Users/raidan/Documents/thesis_imp/podcast-ios/podcast-ios/Views/ListViewHero.swift                                      | Swift    |        109 |         11 |         10 |        130 |
| Total                                                                                                                    |          |      3,974 |        333 |        483 |      4,790 |
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
